mo_yr,date,ALABAMA,ALASKA,ARIZONA,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,synthetic_baseline,treated,gap_raw_baseline,gap_centered_baseline
397,2009-01-01,3.7599998473999996,-0.18000011439999852,3.1199999808000003,3.6399997717999995,1.0999998574000003,2.4800001625999997,3.2400002481999994,1.2600001340000002,2.4000001426000006,2.3199997897999998,2.1800001148000003,4.139999866199999,1.8800001147999996,0.6999998090000004,3.8200000762000004,0.07999973280000017,3.239999676000001,1.9000000954000003,2.4400001044,2.700000095,1.9399996754000002,3.099999523800001,1.9799998280000004,0.4999998090000002,4.540000057,1.5200001236,2.5600000384,0.7600000379999994,1.5200001717999996,3.959999752999999,0.5999999996000005,3.3200002665999993,0.5800000667999994,3.2000003802000014,1.8600002291999997,5.140000342000001,1.0000000475999995,4.000000095400001,0.3600000378000008,1.3200000767999995,2.3600001813999993,2.0999999047999998,0.5399999616000004,0.21999988540000004,1.9999998090000002,0.33999967560000055,3.0016573638454407,3.099999523800001,0.09834215995456042,0.05965365065791927
398,2009-02-01,4.739999961800001,2.8640000060420334e-07,3.5600004191999988,4.240000437000001,1.5000001426000003,2.6999999524000007,3.659999751999999,1.5399998664000005,2.9399998184000005,2.6400002484,3.159999751599999,4.839999581799999,2.1800001614000006,1.0400002483999993,4.3199997908,0.3999999047999996,3.619999504400001,2.2400001527999995,2.6999999996,3.3000001910000005,2.659999657,3.6399999616,2.2599997518000006,0.4599999906000001,5.0999998102,1.9200002197999995,3.1600004189999993,1.159999847,2.120000172000001,4.539999867199999,0.8599999431999992,3.959999848199999,0.920000172,4.2000003800000005,2.299999808999999,5.6600002282,1.219999837600001,4.9400000574,0.6800000189999995,1.7799997326000012,2.7799999239999993,2.4200001236,1.0800001144000007,0.8600000382000008,2.680000114600001,1.0,3.3589298751898355,3.6399999616,0.2810700864101645,0.24238157711352337
399,2009-03-01,5.039999677199999,0.3000002864000004,3.7799997336000004,4.459999562799999,1.6999998572,2.8800000189999997,3.919999837799999,1.7399999617999997,3.2600000382000003,2.7800002100000007,3.4600002294000003,5.219999790999999,2.3799999714,1.2799999238000002,4.59999981,0.4199996946000004,3.9400004383999985,2.4600001814,2.6800002099999993,3.3399999620000003,2.6800001148000003,3.5400002482,2.4200001714,0.7799998757999997,5.5399999616,2.419999742200001,3.4600002290000003,1.7800001146,2.3599998471999992,4.5599999428,0.7600001336000002,4.2600003236,1.3400000573999993,4.820000360800001,2.4999998087999993,5.919999505599999,1.5799999242,5.399999619799999,0.7600000381999994,2.000000191,3.2399999143999993,2.6999999052,1.3800000191999997,1.5199998855999999,3.3000001910000005,1.8600001337999998,3.645785260430833,3.5400002482,-0.10578501223083281,-0.14447352152747395
400,2009-04-01,5.119999600000001,0.44000015219999966,3.8399996760000015,4.4399995817999995,1.840000153,3.0599999902000006,4.140000343199999,2.0999998092,3.3999998095999997,2.1599999432,3.700000380999999,5.039999533000001,2.300000238599999,1.8200000286,4.5800000192,0.3000002861999995,3.7399999618000006,2.5000000002,2.600000238599999,3.3200002198,2.8800000187999997,3.1199997899999996,2.3199999808000005,1.0599998953999998,5.760000322800002,2.6999999524000002,3.7000000954,2.0599997516000004,2.2999998088,4.420000265400001,0.8000000950000001,4.3199996478000005,1.4799998758,4.820000265600002,2.4200001714,6.240000437400001,1.7799997806000007,5.279999829199999,0.5199999813999989,2.1200000762,3.4000000476000007,2.6399998662,1.7400001528000004,2.1200002672,3.4199997897999994,2.840000248399999,3.756569101085319,3.1199997899999996,-0.6365693110853194,-0.6752578203819606
401,2009-05-01,5.760000418200001,0.6199998856000004,4.320000172,4.980000399200001,2.1399999618,3.079999924,4.439999962,2.3400001528,3.5599998470000003,4.1399998186,4.099999619000001,5.599999715199999,2.519999837600001,2.1200001237999997,5.040000437400001,0.6800000191999995,3.880000162600001,2.8000000948000006,2.979999875600001,3.6599998476,3.2799996382000005,3.9199999808,2.3200000758000003,1.0599998477999995,6.220000171000001,2.7400000568000005,4.040000200400001,2.4199998858000002,2.7399999618000006,4.8600004182,0.8400000570000001,4.859999848199999,1.9000000475999999,4.860000322800001,2.8399999618000002,6.2199999808,1.6000000476,5.900000379800001,1.7000002864,2.2999999042000008,3.3800002099999995,2.9999999044000005,2.299999713599999,2.579999923600001,3.7,2.7800000666000004,4.038466533845817,3.9199999808,-0.11846655304581688,-0.15715506234245802
402,2009-06-01,5.999999619999999,0.6600000378000006,4.480000303800001,5.1200002666,2.3599997994000006,3.2400000573999996,4.360000419199999,2.400000285599999,3.5200000762000005,4.500000428599999,4.219999790999999,5.620000171000001,2.4999999525999996,1.9599998469999997,5.080000019,0.8200001717999994,3.7600003713999994,2.760000229199999,3.1200002196000005,3.6799998759999992,2.9399995808000003,4.0199997898,2.1199997900000005,0.8800001624,6.5399999620000004,2.6199999808000003,4.200000191000001,2.5599998473999994,2.9399994854000013,4.6600001330000005,0.7400000094000001,4.9399995817999995,1.7400001529999995,4.579999733799999,2.899999619000001,6.019999600999999,1.5200000760000005,5.8400001522,2.1199999810000003,2.4400002483999996,3.2200001238000002,2.9800000192000002,2.659999846999999,2.679999638000001,3.6399999618,2.8399998186000004,4.050593472397886,4.0199997898,-0.030593682597886307,-0.06928219189452745
403,2009-07-01,6.1400002472,0.7399999619999997,5.000000380000001,5.4199997909999995,2.3599999906000004,3.4400003438000004,4.339999628400001,2.5600005143999987,3.5600000858000005,4.399999619000001,4.6399995818,5.3,2.5600000856000005,2.4800001142,5.0000002852000005,1.1200000765999993,3.4800001621999996,2.7999998088,3.2999995238000004,3.700000095,3.3599995618000014,4.0999998092,2.1599997996000004,1.0600001334,6.779999829199999,2.4800001146,4.3399998663999995,2.519999599800001,2.8999999998000003,4.7200001706000005,0.7200001234000002,4.89999981,1.8200001712000002,4.3000002854,3.080000019,6.059999658199999,1.4199998376000003,5.7599999428,2.4400005335999992,2.5199998852000007,3.0399999145999996,2.9000001431999998,2.8999997135999998,2.6600000378000006,3.8000000956000006,2.8200001722,4.095063963823667,4.0999998092,0.00493584537633307,-0.033752663920308075
404,2009-08-01,6.179999639199999,0.8600001331999998,5.2400000572,5.4600000382,2.3800001142000005,3.6999996192000006,4.3999996668,3.0200001718000005,3.6600002291999996,4.2600002294,4.520000361000001,5.280000209200001,2.4800000666000006,2.140000248399999,5.019999600999999,1.1600000379999997,3.4400002005999997,2.9599998473999998,3.3799997803999995,3.7199997900000006,3.3599996572000004,4.279999828399999,2.1999997136000005,1.2199997900000006,7.0399997718,2.3599997996000006,4.4200002674,2.6200000762,3.1199999810000003,4.800000380000001,0.6799999709999995,4.8800001138,2.119999838599999,4.080000019000001,3.1999995238000007,6.0599998481999995,1.3999998090000005,5.4999997145999995,2.399999523800001,2.5599998470000003,2.7799998280000002,3.0400001044000002,3.2600003236,2.6800001144000003,3.8600003235999996,2.719999886,4.188319033325536,4.279999828399999,0.09168079507446336,0.052992285777822216
405,2009-09-01,6.1199999808,0.8999998090000005,5.5399999620000004,5.599999619799999,2.4000001907999993,3.900000286400001,4.5799996378,3.3400002462000007,3.6799999241999997,4.4000004285999985,4.679999639199999,5.3,2.1200001236,2.2599997518000006,4.9400004374,0.15999994279999985,3.3400001046000005,3.0399999623999996,3.6000002857999993,3.4599999904,3.1800002102000002,4.2999995236,2.2000000474000005,1.1799998287999998,7.3200000762,2.3599998953999997,4.619999981,2.4399998668,3.180000399999999,4.979999639199999,0.5999999041999997,4.9600002282,2.4000001434,3.900000094800001,3.1000000950000004,6.139999771599999,1.3400001046,5.4799995436,2.4400001528000006,2.560000229399999,2.5200000283999997,3.200000095,3.6799998283999997,2.719999981,3.7800003999999987,2.6,4.192424499791279,4.2999995236,0.10757502380872097,0.06888651451207983
406,2009-10-01,6.2999999052,0.9599998479999998,5.8,5.720000361000001,2.500000095,4.0600001816,4.6399995808000005,3.4000003800000007,3.3399998186000004,4.2800000188,4.880000303400001,5.4199997907999995,2.3400000093999997,2.0600001332,4.9000000002,0.23999986679999985,3.200000191,3.1399998186000007,3.6599997995999995,3.3599998479999993,3.1599999428000007,4.339999865999999,2.2399998186000003,1.0600001332000009,7.3200000288,2.1800002099999993,4.619999600000001,2.4800001144,3.2399997708,5.0800003038,0.6000000478,5.040000151800001,2.3400001522,3.7800002092000007,3.0400000568000003,6.160000418200001,1.4399999618,5.1399997719999995,2.4200003617999997,2.6600001814,2.4399999622,3.2200001719999998,3.7799998279999993,2.939999962399999,3.9799998281999995,2.8400002005999996,4.169559326031814,4.339999865999999,0.17044053996818587,0.13175203067154473
407,2009-11-01,5.720000360800001,0.8399999620000003,5.619999791,5.519999791,2.4599998471999998,3.920000172000001,4.820000219600001,3.2999999046,3.259999847200001,4.1799999236000005,4.539999581799999,5.0000002846000005,2.0600001332,1.6999999051999994,4.360000229000001,0.03999977100000063,3.4000000948,3.0199998376000003,3.5600002292,3.239999771000001,3.1599998472,4.1200002674,2.3399997234,0.9800002101999996,7.3600004184,2.1999999526,4.4200002674,2.4599999426000005,2.840000057,4.720000360800001,0.5599998477999995,4.8000001898,2.0399999621999996,3.40000019,2.7000002864,6.080000399000001,1.4199998376000003,4.5599995616000015,2.1199999810000003,2.6999998092000004,2.4,3.140000153,3.379999542600001,2.7799999239999993,3.700000191200001,2.8399998662,3.8643941009269325,4.1200002674,0.25560616647306755,0.21691765717642641
408,2009-12-01,6.199999620199999,0.6199999808000003,5.7000003802000005,5.8800003046,2.7400001525999995,4.240000296000001,4.8399996762000015,3.3400002482,3.4400002005999997,4.580000495399999,5.1,5.5599998481999995,2.2000000477999997,2.1800002101999993,4.7000003798000005,1.1000000001999997,3.5800003999999994,3.28000021,3.7600001336,3.1799999236000005,4.039999867199999,4.299999714400001,2.820000171,1.1799998278000001,7.7799999712000005,2.3000000002,4.6800000189999995,2.4800001142,3.1600002292000005,5.340000057199999,0.5799999241999996,5.2400002472,2.079999828,3.9800001138,3.120000361999999,6.0799997336,1.740000152799999,5.0000002852000005,2.3800000189999997,3.0999998574000003,2.5599998956,3.579999828,3.9599999428000006,3.1600004191999993,4.159999561800001,3.5400000096,4.158882748897846,4.299999714400001,0.1411169655021549,0.10242845620551377
409,2010-01-01,6.360000228400001,0.7199995046000023,5.720000360800001,6.1399997717999995,3.3999995714000013,4.6799999716,4.7400002482,3.1599997529999992,3.1999998566000007,4.1199999808,5.579999733799999,6.2400002472,2.3800001147999996,2.1999998090000004,5.3200000762,1.5799997327999993,4.039999866,3.5000004763999994,4.140000390399999,3.3,4.9399996764,4.500000094800001,2.679999638000001,1.200000095,8.040000057,2.6200000286,4.860000228400001,2.3600004189999986,3.320000361799999,5.7599999429999995,0.5000000955999999,5.7199998856,2.679999971799999,3.9999996201999997,3.5600000382,6.140000342000001,1.9000001425999997,5.3999997144,2.5600003237999998,3.1199997908000006,2.5599999903999997,3.9000000948,3.9400000566000006,3.119999504400001,4.400000380000001,3.2400002475999994,4.552211147565137,4.500000094800001,-0.052211052765136046,-0.09089956206177718
410,2010-02-01,6.3400003418000015,0.8000004763999993,5.659999848199999,6.240000437000001,3.499999666600001,4.699999952400001,4.8599995620000005,2.9399994854000013,3.1400001044000003,4.239999677399998,5.359999562599999,6.2400001518,2.3799999714,2.2400000573999996,5.519999600799999,1.4999998088000002,4.2199998854,3.7400001528000004,3.9999997135999994,3.399999619000001,5.060000228,4.6399999616,2.959999561800001,1.2600001815999997,8.4000000002,2.5200001238,4.8600002280000005,2.5600004189999988,3.3199999810000005,5.840000057199999,0.560000229199999,5.6599996581999985,2.719999886,3.9999996199999988,3.5999999999999996,6.259999658199999,1.9200001236000008,5.2400002474,2.5799996380000003,2.8800001146000014,2.5800001139999997,3.9200001236,3.7799999244,3.360000038200001,4.2799995436,3.3000001909999996,4.694292689286737,4.6399999616,-0.054292727686736875,-0.09298123698337801
411,2010-03-01,6.1400000572,0.8999997144000007,5.279999734599999,6.160000322800001,3.7000003331999993,4.579999827999999,4.7200000287999995,2.7399999617999997,3.1600001332000005,3.980000019,5.1600000384,6.120000361000001,2.2800000664000004,2.2799999238,4.9,1.5200000765999997,4.039999866399999,3.7600003713999994,3.7799996380000005,3.4400003429999995,4.6800001138,4.439999867199999,2.9199996954000005,1.2799998757999997,8.6400003416,2.419999742200001,4.760000418000001,2.6799997326,3.260000419199999,5.5599999428,0.5600003245999998,5.359999753599999,2.3400000573999993,4.119999600799999,3.4999998087999993,6.219999695599999,1.8800001142000005,5.100000379800001,2.5600002292,3.099999619000001,2.6400000093999996,3.7999998092000005,3.779999639199999,3.1200002676,4.30000019,3.1599998478,4.389373875489196,4.439999867199999,0.0506259917108034,0.011937482414162252
412,2010-04-01,5.619999600999999,0.8400002482,5.0400004370000016,6.0399999618,3.5399999620000004,4.559999514200001,4.5399999622,2.5999998092,2.9999997136000003,3.959999657200001,4.6,5.7400002940000014,1.9000001425999997,2.2200001236,4.5800000192,1.6000000001999997,3.7399999618000006,3.3000001911999997,3.6000002386,3.0200000288,4.1800002098,4.220000172000001,2.8199999808000005,1.0599998953999998,8.5599995628,2.1000000474000005,4.599999714400001,2.7600000376000002,3.0999999997999996,5.219999505399999,0.19999995199999976,4.819999648799999,2.2800000667999996,3.719999885600001,3.3200002674,6.3399998673999995,1.4800000666000006,4.680000400199999,2.3200001713999994,2.9200002672,2.4999999526000005,3.4400000572,3.4399999618,2.719999695200001,3.7199999808,3.0400000573999995,4.15712981431921,4.220000172000001,0.06287035768079097,0.024181848384149822
413,2010-05-01,5.0599996572000006,0.7200002675999997,5.019999981,6.079999829199999,3.6399999618,4.379999638000001,4.540000342999999,2.4399995808000003,3.0599998470000003,3.740000200600001,4.300000380000001,5.5000002852000005,1.9199999336000002,2.020000219799999,4.4400000574,1.7799999241999993,3.6800003525999996,3.3000000948000006,3.4799998756,3.0599999426,4.279999639199999,4.020000361799999,2.7200001717999998,0.9599999427999997,8.720000171,1.9399998668,4.4399998184,2.9200003617999997,2.9399997708,5.1599996581999985,0.34000005700000013,4.5599996572000006,2.2000002385999995,3.6599995627999995,3.4400003427999994,6.4199997907999995,1.5000001435999994,4.6000001908,2.3000001904000005,2.9000002862,2.480000114,3.4000000004,3.4999995236000006,2.8800001146000014,3.7,2.7800000666000004,4.053069536421662,4.020000361799999,-0.033069174621662256,-0.0717576839183034
414,2010-06-01,4.6,0.5600001338,4.8799999238,5.8200000765999995,3.559999609400001,4.340000438399999,4.360000419199999,2.2999999046,3.1199999812000003,3.9000000476,3.919999600999999,5.219999601,1.8000001426,1.8599999429999992,4.080000019,1.620000361799999,3.5600000854000005,3.1599998472,3.219999647600001,2.7800002579999994,3.6400003418000004,3.8199999808000005,2.6199997900000005,0.9800000664000006,8.539999962,1.8199997898000007,4.200000191000001,2.8600000384,2.9399994854000013,4.759999562999999,0.3399999143999999,4.2399997718,1.939999962,3.4800003038000007,3.100000380999999,6.019999600999999,1.3199997900000007,4.0399999622,2.019999600000001,2.8399998663999995,2.4199999338,3.1799998282000006,3.260000229,2.679999638000001,3.3399997707999995,2.3399998186000004,3.830304629741946,3.8199999808000005,-0.010304648941945604,-0.04899315823858675
415,2010-07-01,4.539999867199999,0.640000057,5.200000190000001,6.320000361000001,3.660000181600001,4.4400003438,4.339999628400001,2.3599997524000003,3.2599998958,3.8000001910000005,4.3400003418000015,5.10000019,1.7599998956,1.9800001142,4.300000475200001,2.0199996956,3.4800001621999996,3.4000001907999993,3.2000000958,3.1000001909999995,4.260000132800001,4.200000191200001,2.6599997996000004,0.8599998474000001,8.7799998292,1.7799998286000003,4.4400002484000005,2.920000171800001,3.0000003807999995,4.7200001706000005,0.41999993339999975,4.300000380000001,2.1199998852000004,3.399999715399999,3.2799998279999993,6.059999658199999,1.3199999335999997,4.060000133800001,2.239999771600001,2.8200000762000004,2.3400001046,3.1999998572,3.1999999046000003,2.960000228800001,3.4999999046,2.1199998862,3.9438968696135595,4.200000191200001,0.25610332158644145,0.2174148122898003
416,2010-08-01,4.380000399200001,0.7600002291999992,5.0400002472,6.2600002282,3.5800004001999994,4.6000001912,4.3000002388,2.6199995998000007,3.3600000382,3.8599996574000004,4.020000361000001,5.080000399200001,1.8800001626,2.0399998663999996,4.420000172000001,2.459999751999999,3.3399998186000004,3.4599998473999998,3.0800000664000002,3.119999886,3.5600004191999988,4.279999828399999,2.4999999046,0.9200000760000004,8.8399999618,1.6599999906000003,4.4200002674,3.019999695200001,3.019999600000001,4.7,0.3800000189999997,4.3800001148000005,2.119999838599999,3.2799998290000003,3.2999999048,6.1600002282,1.3999998090000005,4.1000000956000004,2.1999997137999996,2.860000038,2.1799999239999996,3.2399999144,3.2600003236,3.2800004953999995,3.4599997516,2.219999886,4.045142346181851,4.279999828399999,0.23485748221814795,0.1961689729215068
417,2010-09-01,4.420000171800001,0.7000000000000002,4.939999582,6.099999619799999,3.4999996188000004,4.6000000954,4.280000399799999,2.6399994852000006,3.1799999241999997,3.8000000475999993,3.679999638200001,4.8,1.7200000286,1.8600001337999998,4.4400004383999985,1.2599998467999995,3.1399998186000007,3.3400001524,2.9999999048,2.8600000854000003,3.1800002102000002,4.099999713599999,2.6000001424000008,0.7799997328000003,9.0199998862,1.5600001813999995,4.31999979,2.8399999618000002,2.7799998279999993,4.5800000192,0.29999995219999986,4.1600000382,2.0999999524,3.2999997138,2.8999998090000005,6.139999771599999,1.3400001046,4.079999923600001,2.1399999618,2.6600001333999996,2.1199999333999995,3.1000001909999995,3.280000210400001,3.320000361999999,3.1800000189999995,1.9000001909999997,4.024249246264933,4.099999713599999,0.07575046733506596,0.03706195803842482
418,2010-10-01,4.499999714200001,0.6600001339999997,4.8,6.019999600999999,3.4999996190000005,4.659999609600001,4.2399999618,2.6999996190000006,3.0400001046000003,3.8800003997999992,3.5800001144000007,4.5200001718000005,1.6400002003999994,1.8599998472000001,4.299999619200001,1.340000247799999,3.200000191,3.2400002006,2.9599999906,2.8599998479999993,2.8599997518,4.140000057,2.6399999145999997,0.7599999432000004,8.719999648799998,1.579999828,4.219999981,2.6799999234000005,2.7399997708,4.3799995428,0.19999995179999974,4.040000152800001,1.9400000571999998,3.1799998281999997,2.7399998668,6.160000418200001,1.2400001527999995,3.939999962,2.1200001718,2.6600001814,2.0399998671999997,3.019999886,3.180000399999999,3.3400000573999993,3.1800001142000003,2.0400000096,3.9316094787655773,4.140000057,0.20839057823442264,0.1697020689377815
419,2010-11-01,4.6199999808,0.5399997710000006,4.919999981,6.120000171000001,3.6599996572,4.619999981,4.2199998376,2.6999995236000007,2.9600001332000008,3.8799997326,3.539999580800001,4.500000285599999,1.5600001332,1.7999998092,4.259999847,1.4400003429999995,3.4000000948,3.2200001236,2.9599998471999998,2.739999771000001,3.260000229200001,4.1200002674,2.7399998193999995,0.7799999241999998,8.8600004184,1.5000001435999994,4.319999885399999,2.5599998476000003,2.739999676000001,4.6199999808,0.15999999079999982,3.899999618800001,1.9400000571999998,3.2000003800000005,2.8000001904000005,6.179999829,1.3199999335999997,3.9600001336000012,2.2200003619999995,2.5999999052,2.0999998090000003,3.0399997710000006,3.280000114600001,3.48000021,3.0999998092000007,2.2399999621999993,3.9178799127759674,4.1200002674,0.20212035462403266,0.16343184532739152
420,2010-12-01,4.6000001912,0.6199999808000003,4.700000381199999,6.180000494600001,3.5400003436,4.639999914,4.0399999622,2.8400002482,3.0400001046000003,3.9800001144,3.400000191,4.059999847199999,1.6000001428,1.7800001142,4.0999999998,2.0000000952,3.480000019,3.1799998280000006,2.8600000386,2.6799999236000005,3.6400002471999997,4.0999999044,3.019999981,0.7800002097999994,8.880000351200001,1.6000001911999995,4.280000399999999,2.3800002101999995,2.5599998471999994,4.6400002472,0.18000006719999995,3.6399998661999993,1.6800002099999993,3.1799999237999996,2.71999979,6.180000113600001,1.5399998667999992,3.8999999041999995,2.1800002099999993,2.8000001434,2.1599997996000004,3.079999828,3.0600003237999998,3.6600004191999993,2.9599997518000007,2.2399998186000003,3.832407277524223,4.0999999044,0.2675926268757767,0.22890411757913554
421,2011-01-01,5.0600000384,0.519999694600001,4.6199999808,6.040000341800001,3.6000003333999997,4.980000162600001,3.9400000572,2.8599995620000005,2.9000001426000006,3.6199999808000003,3.4800003038000007,4.339999676200001,1.7799997328000003,1.9000000950000002,4.420000456200001,2.2799995428000006,3.9400004379999993,3.0999999044000006,3.0400000094,2.499999809,3.7399998664000007,4.000000095800001,2.8800003999999992,0.9999998090000002,8.540000057,1.6200000285999998,4.459999657400001,2.2600000379999994,2.7199999808,4.659999562999999,9.559999991637369e-08,3.820000265600001,1.6799999717999992,2.7999998102,2.6600004191999993,6.140000342000001,1.6999998565999999,4.300000284400001,2.260000133800001,2.6200002668,2.1599998953999995,3.0999999047999998,3.0399994865999993,3.3200002663999992,3.1000001910000003,2.3399996756000006,4.0518558578147434,4.000000095800001,-0.051855762014742623,-0.09054427131138376
422,2011-02-01,4.8400003418000015,0.39999990439999955,4.4600000382,5.8399998669999995,3.6000000476,4.8000003334,3.8599995620000005,3.0399998664000005,2.9399998184000005,3.5399998663999988,3.3599995616000005,4.040000342799999,1.7800000664000004,1.9399998664,4.220000360800001,2.2000000948,3.9199996943999995,3.0399998667999997,2.900000285599999,2.400000095,4.360000418,3.8399997705999995,2.8600001338000007,0.9599999906000001,8.500000380200001,1.5200001238,4.459999657000001,2.0599999429999993,2.620000172000001,4.4400004372,-0.040000152800000244,3.459999847199999,1.5200000760000005,2.5999999999999996,2.400000191,6.259999658199999,1.719999837600001,4.2400002484,2.1800000189999995,2.480000018600001,1.9800002099999992,2.9200001236,2.880000304400001,2.9600004192,2.9800003046,2.400000095,3.9137752570092283,3.8399997705999995,-0.07377548640922882,-0.11246399570586996
423,2011-03-01,4.539999676200001,0.3999997144000007,4.1800003056,5.660000322800001,3.499999571200001,4.68000021,3.6200001237999997,3.2399999617999997,2.8599999432,3.480000019,3.1600000383999998,3.7199997899999993,1.5799997804000006,1.7799999238000002,3.799999619000001,2.0200000765999997,3.7399996764,2.8599997994000006,2.579999828,2.2400000570000005,3.7799995428000006,3.340000438199999,2.719999885399999,0.7799998757999997,8.439999581599999,1.4199997422000008,4.260000418999999,1.8800000186000005,2.4600002292000003,4.160000322800001,-0.040000057399999456,3.159999942599999,1.140000248399999,2.4199997907999995,2.2000000948,6.219999695599999,1.6799998282000006,3.9999999998,1.9599998471999998,2.299999905,1.9400002003999992,2.6000000002,2.7799996382000005,2.7199996956000003,2.6999998089999995,2.1599998478,3.6375660386245126,3.340000438199999,-0.29756560042451374,-0.3362541097211549
424,2011-04-01,4.719999981,0.3400002481999991,4.139999866,5.5399999618,3.239999771,4.460000086200001,3.5399999621999996,3.5000003811999996,2.6999999996,3.3600002292000006,3.200000380999999,3.5399995330000014,1.4000001425999997,1.5199998376000003,3.680000400199999,1.8000002861999995,3.6399995808000014,2.9000000952000002,2.399999952599999,2.1199999338,3.7799996378000005,3.2200001720000007,2.519999789800001,0.6599997994000004,8.460000132800001,1.3999997614000006,4.2000000954,1.8599999426,2.4000001907999993,4.2199995044000005,-9.500000031081868e-08,2.9200000287999996,1.0800002577999992,2.219999885600001,2.3200002673999993,6.1400000574,1.4800000666000006,4.0800000192,1.8200001713999994,2.0200001712000004,1.9000000476000007,2.5399999621999996,2.6399997707999994,2.3200000762000004,2.7199999808,2.2399998664,3.515075737602669,3.2200001720000007,-0.29507556560266845,-0.3337640748993096
